metric,FY2019,FY2020,FY2021,FY2022,FY2023
Revenue,260174,274515,365817,394328,383285
Cost of Revenue,161782,169559,212981,223546,214137
Gross Profit,98392,104956,152836,170782,169148
R&D Expense,16217,18752,21914,26251,29915
SG&A Expense,18245,19916,21973,25094,24932
Operating Income,63930,66288,108949,119437,114301
Interest Income,4756,3763,2843,2825,3750
Interest Expense,3576,2873,2645,2830,3933
EBT,65737,67091,109207,119103,113736
Tax Expense,10481,9680,14527,19300,29749
Net Income,55256,57411,94680,99803,96995
Depreciation,12547,11056,11284,11104,11519
CapEx,10495,7309,11085,10708,10959
Cash,48844,38016,62639,23646,29965
Short Term Investments,51713,52927,27699,24658,31590
Accounts Receivable,22926,16120,26278,28184,29508
Inventories,4106,4061,6580,4946,6331
Other Current Assets,12352,11264,14111,21223,14695
Total Current Assets,162819,143713,134836,135405,143566
PP&E Net,37378,36766,39440,42117,43715
Goodwill,0,0,0,0,0
Other Long Term Assets,32978,42522,48849,54428,64758
Total Assets,338516,323888,351002,352755,352583
Accounts Payable,46236,42296,54763,64115,62611
Short Term Debt,16240,13769,9613,11128,9822
Other Current Liabilities,37720,42684,47493,60845,58829
Total Current Liabilities,105718,105392,125481,153982,145308
Long Term Debt,91807,98667,109106,98959,95281
Other Long Term Liabilities,50503,54490,53325,49142,49848
Total Liabilities,248028,258549,287912,302083,290437
Common Stock,45174,50779,57365,64849,73812
Retained Earnings,45898,14966,5562,-3068,-214
Accumulated OCI,-584,-406,-1571,-11109,-11452
Total Equity,90488,65339,63090,50672,62146
Total Liabilities and Equity,338516,323888,351002,352755,352583
Operating Cash Flow,69391,80674,104038,122151,110543
Investing Cash Flow,-45896,-10618,-14545,-22354,-3705
Financing Cash Flow,-90976,-86820,-93353,-110749,-108488
Net Change in Cash,-67481,16764,-3764,-10998,-1649
